"date","sim","obs"
2005-06-05,116.7,101.9406477312
2005-06-06,115.2,96.2772784128
2005-06-07,115.4,105.62183778816
2005-06-08,118,108.17035398144
2005-06-09,125.9,100.24163693568
2005-06-10,129.4,94.57826761728
2005-06-11,128.3,97.6931207424
2005-06-12,135.4,110.4357017088
2005-06-13,153.2,121.19610341376
2005-06-14,159.3,119.78026108416
2005-06-15,152.8,104.7723323904
2005-06-16,141.7,87.49905596928
2005-06-17,134,75.32281193472
2005-06-18,125.8,65.69508409344
2005-06-19,117.6,57.48319858176
2005-06-20,111.8,53.51884005888
2005-06-21,108.9,53.51884005888
2005-06-22,103.3,52.95250312704
2005-06-23,96.26,49.27131307008
2005-06-24,91.22,42.75843835392
2005-06-25,87.95,33.9802159104
2005-06-26,85.45,26.985954802176
2005-06-27,84.14,24.91882500096
2005-06-28,83.12,29.44952045568
2005-06-29,84.01,30.29902585344
2005-06-30,81.61,25.824964091904
2005-07-01,77.65,23.276447898624
2005-07-02,71.15,22.341991961088
2005-07-03,69.25,21.237634944
2005-07-04,67.8,20.359812699648
2005-07-05,62.83,19.765158921216
2005-07-06,57.63,19.340406222336
2005-07-07,53.15,18.802386137088
2005-07-08,48.46,18.037831279104
2005-07-09,59.49,17.27327642112
2005-07-10,75.31,18.68911875072
2005-07-11,83.27,22.398625654272
2005-07-12,82.55,24.720607074816
2005-07-13,78.88,27.269123268096
2005-07-14,75.66,30.86536278528
2005-07-15,75.4,44.45744914944
2005-07-16,73.35,69.94261108224
2005-07-17,69.41,77.02182273024
2005-07-18,65.69,65.1287471616
2005-07-19,62.64,58.0495355136
2005-07-20,59.76,50.40398693376
2005-07-21,54.72,43.04160681984
2005-07-22,48.99,38.79407983104
2005-07-23,46.07,38.2277428992
2005-07-24,45.61,38.79407983104
2005-07-25,43.28,38.2277428992
2005-07-26,38.81,35.39605824
2005-07-27,34.78,30.58219431936
2005-07-28,35.02,26.532885256704
2005-07-29,43.28,25.541795625984
2005-07-30,53.71,27.693875966976
2005-07-31,62.84,33.13071051264
2005-08-01,71.67,58.0495355136
2005-08-02,75.24,78.15449659392
2005-08-03,72.66,64.27924176384
2005-08-04,71.56,48.1386392064
2005-08-05,68.47,43.32477528576
2005-08-06,72.26,48.1386392064
2005-08-07,77.91,56.633693184
2005-08-08,89.14,60.03171477504
2005-08-09,97.9,59.18220937728
2005-08-10,121.9,59.18220937728
2005-08-11,133.5,58.33270397952
2005-08-12,134.8,65.97825255936
2005-08-13,132.3,85.80004517376
2005-08-14,122.2,122.61194574336
2005-08-15,113.1,149.51295000576
2005-08-16,105.6,139.60205369856
2005-08-17,99.15,116.94857642496
2005-08-18,95.86,96.2772784128
2005-08-19,93.44,76.17231733248
2005-08-20,87.97,58.61587244544
2005-08-21,82.47,46.15645994496
2005-08-22,85.86,36.8119005696
2005-08-23,84.86,35.11288977408
2005-08-24,83.68,43.60794375168
2005-08-25,81.06,42.19210142208
2005-08-26,78.74,35.39605824
2005-08-27,75.61,32.28120511488
2005-08-28,71.63,31.71486818304
2005-08-29,69.22,31.43169971712
2005-08-30,70.15,32.5643735808
2005-08-31,68.81,31.43169971712
2005-09-01,64.46,27.32575696128
2005-09-02,59.86,23.304764745216
2005-09-03,56.06,20.586347472384
2005-09-04,52.16,18.859019830272
2005-09-05,48.3,17.471494347264
2005-09-06,45.66,16.083968864256
2005-09-07,45.21,14.979611847168
2005-09-08,43.41,13.818621136896
2005-09-09,41.31,12.45941250048
2005-09-10,38.41,11.015253324288
2005-09-11,36.31,9.882579460608
2005-09-12,33.88,9.06139090944
2005-09-13,32.18,8.466737131008
2005-09-14,30.64,7.985350738944
2005-09-15,29.83,7.64554857984
2005-09-16,28.52,7.36238011392
2005-09-17,27.23,7.050894801408
2005-09-18,26.48,6.824360028672
2005-09-19,25.72,6.65445894912
2005-09-20,24.62,6.541191562752
2005-09-21,23.77,6.456241022976
2005-09-22,23.36,6.342973636608
2005-09-23,22.82,6.399607329792
2005-09-24,21.48,6.427924176384
2005-09-25,20.12,6.342973636608
2005-09-26,18.99,6.342973636608
2005-09-27,19.8,6.342973636608
2005-09-28,20.31,6.342973636608
2005-09-29,21.98,6.342973636608
2005-09-30,22.5,6.569508409344
2005-10-01,21.67,6.597825255936
2005-10-02,20.22,6.739409488896
2005-10-03,17.7,6.569508409344
2005-10-04,14.97,6.427924176384
2005-10-05,17.67,6.484557869568
2005-10-06,91.92,8.664955057152
2005-10-07,144,23.531299517952
2005-10-08,150.4,54.93468238848
2005-10-09,140.5,86.3663821056
2005-10-10,130.5,105.62183778816
2005-10-11,123.4,121.47927187968
2005-10-12,118.7,122.32877727744
2005-10-13,115.5,118.64758722048
2005-10-14,112.5,107.32084858368
2005-10-15,109.9,94.57826761728
2005-10-16,107.5,86.93271903744
2005-10-17,105.1,84.66737131008
2005-10-18,102.1,80.98618125312
2005-10-19,98.99,70.22577954816
2005-10-20,94.74,55.50101932032
2005-10-21,90.3,42.19210142208
2005-10-22,83.05,32.5643735808
2005-10-23,77.17,25.76833039872
2005-10-24,72.16,21.605753949696
2005-10-25,69.37,19.170505142784
2005-10-26,68.42,17.386543807488
2005-10-27,66.95,16.197236250624
2005-10-28,64.96,15.319414006272
2005-10-29,62.67,14.58317599488
2005-10-30,60.6,14.01683906304
2005-10-31,58.01,13.620403210752
2005-11-01,55.97,13.365551591424
2005-11-02,52.71,13.195650511872
2005-11-03,50.16,13.02574943232
2005-11-04,47.36,12.827531506176
2005-11-05,45.16,12.657630426624
2005-11-06,43.55,12.516046193664
2005-11-07,42.87,12.431095653888
2005-11-08,42.09,12.289511420928
2005-11-09,39.67,12.17624403456
2005-11-10,36.5,12.062976648192
2005-11-11,34.85,11.949709261824
2005-11-12,34.45,11.808125028864
2005-11-13,33.79,11.723174489088
2005-11-14,33.06,11.694857642496
2005-11-15,32.38,11.694857642496
2005-11-16,31.11,11.694857642496
2005-11-17,29.65,11.666540795904
